marca,clase,provincia,servicio,cantidad
DAIHATSU,Camión,IMBABURA,PARTICULAR,48
TOYOTA,Camión,COTOPAXI,PARTICULAR,48
CHEVROLET,Camión,SUCUMBÍOS,PARTICULAR,48
CHEVROLET,Camión,ZAMORA CHINCHIPE,PARTICULAR,47
HINO,Volqueta,CHIMBORAZO,PARTICULAR,47
HINO,Volqueta,TUNGURAHUA,ALQUILER,47
Otras Marcas,Camión,EL ORO,PARTICULAR,46
QMC,Camión,SANTO DOMINGO DE LOS TSÁCHILAS,PARTICULAR,46
HINO,Trailer,GUAYAS,PARTICULAR,45
Otras Marcas,Volqueta,PICHINCHA,PARTICULAR,45
GMC,Camión,GUAYAS,PARTICULAR,45
MITSUBISHI,Camión,ORELLANA,PARTICULAR,44
QMC,Camión,MANABÍ,PARTICULAR,44
FORD,Camión,SANTA ELENA,PARTICULAR,44
HINO,Camión,SANTA ELENA,PARTICULAR,44
INTERNATIONAL,Camión,SANTO DOMINGO DE LOS TSÁCHILAS,PARTICULAR,44
MERCEDES BENZ,Camión,SANTO DOMINGO DE LOS TSÁCHILAS,PARTICULAR,44
FORD,Volqueta,COTOPAXI,PARTICULAR,43
MACK,Camión,PICHINCHA,PARTICULAR,43
ISUZU,Camión,TUNGURAHUA,PARTICULAR,43
MITSUBISHI,Camión,CARCHI,PARTICULAR,43
MERCEDES BENZ,Trailer,PICHINCHA,PARTICULAR,43
MITSUBISHI,Camión,EL ORO,ALQUILER,43
HYUNDAI,Camión,CAÑAR,PARTICULAR,42
HINO,Camión,ORELLANA,ALQUILER,42
QMC,Camión,CHIMBORAZO,PARTICULAR,41
ISUZU,Camión,SANTO DOMINGO DE LOS TSÁCHILAS,PARTICULAR,41
ISUZU,Camión,IMBABURA,PARTICULAR,41
KIA,Camión,COTOPAXI,PARTICULAR,41
MACK,Trailer,MANABÍ,PARTICULAR,41
MERCEDES BENZ,Volqueta,TUNGURAHUA,PARTICULAR,40
MERCEDES BENZ,Camión,COTOPAXI,ALQUILER,40
FAW,Camión,PICHINCHA,PARTICULAR,40
NISSAN,Camión,COTOPAXI,PARTICULAR,39
MITSUBISHI,Camión,BOLÍVAR,PARTICULAR,39
INTERNATIONAL,Trailer,LOS RÍOS,PARTICULAR,39
VOLKSWAGEN,Camión,GUAYAS,PARTICULAR,39
HINO,Volqueta,PASTAZA,PARTICULAR,38
MACK,Camión,GUAYAS,PARTICULAR,38
MERCEDES BENZ,Tanquero,GUAYAS,PARTICULAR,37
DAIHATSU,Camión,ORELLANA,PARTICULAR,37
MITSUBISHI,Camión,MANABÍ,ALQUILER,37
CHEVROLET,Camión,MANABÍ,ALQUILER,37
SCANIA,Camión,GUAYAS,PARTICULAR,37
SCANIA,Camión,LOS RÍOS,PARTICULAR,37
TOYOTA,Camión,ESMERALDAS,PARTICULAR,37
ISUZU,Camión,CAÑAR,PARTICULAR,37
NISSAN,Camión,AZUAY,PARTICULAR,36
MERCEDES BENZ,Camión,MANABÍ,PARTICULAR,36
FORD,Camión,LOJA,PARTICULAR,36
INTERNATIONAL,Volqueta,SANTO DOMINGO DE LOS TSÁCHILAS,PARTICULAR,36
KENWORTH,Trailer,COTOPAXI,ALQUILER,36
KIA,Camión,ESMERALDAS,PARTICULAR,35
